Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus, eDLoop
3905, -14.7977, 4.5725, 1.0295, 0.048843, 0.044532, 0.0010191, 0.88001, 6.3323, 71.212, 0.83244, 791.17, 0.0097396, 0.0050117, 0.09685, 1.3919, 0.020193, 737.61, 0.28663, 0.40688,1e-26,36.335, 0.18232, 1e-26
3906, -14.8146, 3.9666, 0.040289, 0.052633, 140.39, 3.0239, 150.22, 5.2567, 2.2689, 1.3952, 0.14473, 0.53547, 0.2429, 0.019454, 8.2021, 1.5305, 43.745, 0.052295, 0.086922,1e-26,3.5139, 0.10988, 1e-26
3907, -14.8185, 3.9666, 0.033095, 0.052633, 112.04, 1.88, 150.22, 5.2567, 2.8753, 1.5942, 0.14473, 0.38135, 0.32101, 0.019454, 7.3185, 1.5305, 37.844, 0.087074, 0.069107,1e-26,3.5139, 0.14683, 1e-26
3908, -14.8255, 0.60287, 0.0027178, 0.035212, 67.16, 0.024027, 2.4277, 0.49557, 9.942, 9.6017, 20.601, 4.4884, 0.018909, 0.017272, 71.971, 0.82478, 3.8915, 1.5013, 0.19665,1e-26,5.975, 0.064313, 1e-26
3909, -14.8334, 7.8933, 24.729, 1.2004, 197.25, 0.0019272, 5.1302, 0.014974, 0.48565, 0.0014604, 473.47, 0.057332, 0.073598, 0.015976, 40.171, 0.45037, 104.96, 0.22105, 6.069,1e-26,1.5144, 1.3476, 1e-26
3910, -14.8375, 0.92987, 8.4104, 0.0046389, 178.76, 0.11092, 22.858, 1.5727, 18.471, 0.0013596, 0.2865, 0.58455, 0.0064783, 0.022747, 4.5207, 0.1704, 526.76, 0.18808, 0.24378,1e-26,0.30038, 0.017999, 1e-26
3911, -14.8482, 6.4123, 0.16101, 0.24091, 0.11712, 0.0023178, 430.48, 0.016291, 28.499, 0.96446, 417.08, 0.26112, 0.44199, 0.011115, 7.3424, 0.0033368, 1.1931, 3.686, 0.42421,1e-26,0.13796, 0.026242, 1e-26
3912, -14.8581, 4.446, 0.035802, 0.052633, 173.82, 3.3401, 150.22, 6.3206, 2.5553, 0.94154, 0.14473, 0.38135, 0.32335, 0.019454, 7.3185, 1.5305, 37.844, 0.078622, 0.069107,1e-26,4.8781, 0.097678, 1e-26
3913, -14.8628, 0.0027562, 5.2557, 0.91347, 0.077729, 5.1344, 16.168, 0.038437, 63.063, 0.015407, 89.305, 0.020625, 0.0023539, 0.34728, 87.615, 0.0012609, 48.665, 3.7963, 3.7818,1e-26,0.33749, 0.002979, 1e-26
3914, -14.8710, 0.0040212, 0.015908, 0.0031772, 22.572, 0.47663, 0.046536, 0.054198, 110.04, 6.3233, 20.37, 0.07258, 0.25271, 0.057197, 80.196, 0.0054981, 9.3631, 6.0115, 1.5746,1e-26,8.3987, 1.2921, 1e-26
3915, -14.9013, 0.033229, 1.0031, 0.23504, 0.23028, 0.26001, 0.041061, 0.0023236, 187.41, 0.0014865, 61.319, 0.072576, 0.040505, 0.019802, 1.0596, 0.0032716, 74.649, 2.6498, 1.2309,1e-26,0.33891, 5.108, 1e-26
3916, -14.9142, 0.18531, 0.028356, 0.1839, 23.139, 0.026873, 0.024538, 0.1663, 21.457, 0.81684, 118.14, 7.936, 8.468, 0.21083, 3.251, 2.7491, 14.188, 2.2782, 0.17001,1e-26,0.45134, 0.048995, 1e-26
3917, -14.9162, 3.9666, 0.035802, 0.052633, 173.82, 2.2737, 150.22, 5.0305, 2.8753, 1.2016, 0.15566, 0.38135, 0.20829, 0.017305, 7.3185, 1.5305, 37.844, 0.087877, 0.069107,1e-26,4.2196, 0.14683, 1e-26
3918, -14.9191, 0.0044122, 0.0047314, 0.0037096, 488.82, 0.0043886, 0.21841, 0.0062658, 0.013937, 0.025974, 827.46, 1.6644, 0.96646, 0.018171, 10.266, 0.16472, 69.236, 0.10724, 8.2542,1e-26,0.43774, 0.37753, 1e-26
3919, -14.9367, 0.48649, 0.0049811, 0.91847, 367.18, 1.2599, 5.2391, 2.7528, 232.11, 0.41094, 394.18, 0.012466, 0.014636, 0.25161, 11.814, 1.6475, 657.29, 0.089485, 0.088446,1e-26,262.03, 0.36097, 1e-26
3920, -14.9421, 0.29722, 1.1434, 0.0016061, 28.396, 0.30195, 0.70559, 0.03056, 140.75, 0.13348, 0.21185, 6.4287, 0.026276, 0.0396, 15.871, 0.0060251, 74.265, 0.079608, 1.4308,1e-26,1.5566, 0.035106, 1e-26
3921, -14.9425, 0.008106, 0.0092484, 0.0013036, 12.785, 0.0012797, 0.050952, 0.0086369, 135.87, 0.047234, 0.011183, 0.020933, 0.05439, 0.014672, 19.049, 1.6968, 57.286, 1.2281, 0.4489,1e-26,459.92, 0.061981, 1e-26
3922, -14.9472, 2.8151, 0.035802, 0.052633, 143.86, 3.2978, 150.22, 5.2567, 2.8753, 1.5942, 0.14473, 0.53547, 0.2429, 0.019454, 8.2021, 1.5305, 37.381, 0.052295, 0.10904,1e-26,3.5139, 0.10988, 1e-26
3923, -14.9489, 2.5966, 133.39, 0.044774, 43.913, 0.006495, 0.028679, 0.039197, 442.59, 1.0342, 0.37393, 0.21882, 0.0047015, 0.03705, 10.013, 3.4943, 531.78, 0.050566, 0.60477,1e-26,19.37, 0.46985, 1e-26
3924, -14.9695, 0.65868, 0.0013207, 5.2275, 502.61, 0.11692, 0.072556, 0.30329, 0.84554, 0.043812, 107.31, 0.0055727, 0.53121, 0.95586, 37.166, 0.15044, 63.367, 2.1711, 1.6353,1e-26,0.24261, 0.0050494, 1e-26
3925, -14.9710, 3.9666, 0.035802, 0.052633, 140.39, 2.9249, 150.22, 5.2567, 2.8753, 1.5942, 0.14473, 0.53547, 0.22134, 0.019454, 7.3185, 1.471, 37.844, 0.054757, 0.069107,1e-26,3.5139, 0.10175, 1e-26
3926, -14.9759, 0.80339, 0.034233, 0.010818, 829.88, 0.067902, 314.92, 3.5042, 389.96, 0.012031, 0.17403, 0.026267, 1.163, 0.39826, 17.293, 0.028326, 17.17, 2.0395, 5.952,1e-26,161.69, 1.9308, 1e-26
3927, -14.9815, 3.9666, 0.035802, 0.052633, 140.39, 3.6475, 132.01, 2.827, 2.8753, 1.5942, 0.13995, 0.53547, 0.28107, 0.019454, 8.2021, 1.5305, 41.868, 0.076307, 0.10111,1e-26,3.1039, 0.11212, 1e-26
3928, -14.9904, 0.46313, 11.024, 0.095455, 0.016101, 0.19649, 19.879, 0.21892, 0.048709, 0.002889, 280.72, 0.26938, 0.11946, 0.38477, 35.242, 0.0035396, 246.06, 6.3411, 1.9389,1e-26,849.56, 0.046802, 1e-26
3929, -14.9923, 0.57185, 0.0011923, 4.9987, 41.473, 0.073318, 2.484, 1.0501, 0.21349, 0.0016368, 18.191, 0.089193, 2.4903, 0.44573, 3.8472, 4.7817, 138.33, 3.5111, 0.63412,1e-26,1.1304, 0.040653, 1e-26
3930, -15.0016, 0.002451, 37.214, 0.012336, 0.41912, 0.001495, 0.095591, 4.554, 314.04, 0.0031415, 0.19592, 3.6459, 0.010864, 0.28845, 1.2353, 0.0021494, 0.94596, 4.2518, 3.3477,1e-26,2.9014, 0.012576, 1e-26
3931, -15.0029, 0.019301, 0.095335, 2.0479, 0.30915, 1.9857, 0.051693, 0.1779, 0.41293, 0.0060496, 149.56, 0.052204, 0.094011, 0.02518, 62.801, 0.017011, 81.617, 0.46518, 0.59397,1e-26,168.1, 0.079427, 1e-26
3932, -15.0328, 0.0010497, 0.036796, 0.0037299, 105.75, 0.0018148, 546.11, 0.0023425, 591.62, 8.7397, 6.2616, 0.45498, 3.5034, 0.15118, 1.5556, 1.2762, 0.44444, 1.5025, 0.43482,1e-26,71.849, 0.61567, 1e-26
3933, -15.0350, 0.83543, 0.0025138, 0.0018253, 0.059128, 0.083239, 0.044982, 0.019725, 88.334, 1.0742, 776.26, 0.0027838, 0.02909, 0.41766, 26.597, 0.63988, 5.3026, 0.14925, 0.20967,1e-26,379.56, 2.5186, 1e-26
3934, -15.0435, 0.1708, 1.7319, 0.093583, 0.24123, 0.080249, 57.654, 0.047408, 32.263, 0.0048245, 79.876, 0.20752, 0.18119, 0.041129, 10.954, 6.8471, 34.524, 0.55445, 2.2939,1e-26,92.491, 0.010317, 1e-26
3935, -15.0493, 0.27345, 0.2503, 1.5411, 0.016651, 9.3564, 393.6, 9.5498, 8.2121, 0.0043576, 29.892, 0.0059073, 0.0066298, 0.033946, 3.4984, 0.0066488, 2.2184, 0.29386, 0.19831,1e-26,1.7045, 0.13276, 1e-26
3936, -15.0615, 9.2035, 0.0020674, 0.0025643, 42.672, 0.0040851, 3.1457, 0.29877, 3.5963, 0.0016023, 75.357, 0.0045692, 1.9231, 0.050461, 74.634, 0.2753, 0.29472, 9.537, 0.093229,1e-26,432.66, 0.0038373, 1e-26
3937, -15.0656, 0.073826, 3.1689, 0.050848, 0.091432, 0.11198, 15.402, 0.0016471, 3.0194, 0.024611, 99.684, 4.7337, 0.069559, 0.040605, 4.1049, 0.027558, 0.41813, 3.3749, 2.295,1e-26,97.983, 0.015985, 1e-26
3938, -15.0702, 0.0017388, 1.8568, 0.013367, 0.88825, 0.33445, 0.046146, 0.055868, 148.77, 0.0088505, 18.031, 0.0046564, 0.034911, 0.011137, 7.4199, 9.6893, 149.28, 1.441, 0.21356,1e-26,8.0142, 0.097433, 1e-26
3939, -15.0729, 3.9666, 0.035802, 0.052633, 100.06, 2.2737, 116.45, 7.7689, 2.8753, 0.86765, 0.14473, 0.37326, 0.32335, 0.019454, 7.3185, 1.5305, 37.844, 0.087074, 0.069107,1e-26,3.6249, 0.10135, 1e-26
3940, -15.1100, 0.030356, 0.0098078, 0.04994, 0.34451, 0.0022801, 0.013678, 0.29912, 640.79, 0.0052547, 6.6565, 5.9268, 7.9201, 0.03095, 45.722, 0.77369, 53.316, 6.1449, 3.8666,1e-26,1.1833, 0.0046112, 1e-26
3941, -15.1242, 0.09941, 91.423, 0.67338, 319.31, 0.52413, 0.011893, 0.021665, 128.02, 0.050974, 0.052814, 0.31772, 0.037467, 0.01645, 13.076, 0.13497, 931, 0.16674, 0.06952,1e-26,60.108, 3.3975, 1e-26
3942, -15.1289, 0.0034466, 0.53523, 0.0027572, 11.439, 7.9872, 3.4964, 0.0034278, 0.49991, 0.0057179, 44.445, 0.0043548, 0.0010825, 0.015459, 7.8144, 0.0096259, 5.259, 2.9563, 0.69253,1e-26,87.142, 1.084, 1e-26
3943, -15.1293, 0.2759, 1.068, 0.0058128, 73.002, 0.013043, 980.23, 0.010007, 17.479, 0.9914, 475.43, 0.17018, 0.0024558, 0.071268, 11.736, 0.012674, 136.23, 0.53132, 0.8372,1e-26,319.91, 0.012374, 1e-26
3944, -15.1314, 0.026927, 0.66945, 7.2152, 0.65645, 0.49203, 0.029899, 1.5578, 1.1508, 0.081348, 478.53, 0.41777, 0.11696, 0.028935, 31.22, 0.0029039, 4.549, 0.17192, 0.11627,1e-26,24.371, 0.0014617, 1e-26
3945, -15.1317, 4.7571, 0.035802, 0.052633, 140.39, 3.2978, 150.22, 5.2567, 2.8753, 1.5942, 0.14473, 0.41389, 0.2429, 0.019454, 8.2021, 1.5901, 48.801, 0.05, 0.12709,1e-26,3.5139, 0.077381, 1e-26
3946, -15.1353, 0.62918, 296.2, 0.0059623, 0.067161, 2.4535, 1.9088, 0.020844, 0.13015, 0.0037635, 45.341, 0.034736, 0.0053681, 0.020457, 1.4352, 2.0101, 428.1, 0.36025, 0.17201,1e-26,1.9082, 0.031579, 1e-26
3947, -15.1377, 0.0010235, 209.04, 0.10876, 11.108, 1.0748, 0.020223, 0.76561, 83.718, 0.027075, 325.96, 0.0050624, 0.0023761, 0.53489, 1.6171, 0.0013616, 0.18361, 1.0437, 0.1089,1e-26,22.646, 0.97047, 1e-26
3948, -15.1419, 0.0066817, 0.013759, 5.5658, 193.66, 0.39605, 61.479, 4.0449, 0.038379, 0.20326, 421.52, 0.4852, 0.0011643, 0.2986, 50.717, 0.0010658, 8.8462, 0.47732, 0.069813,1e-26,14.623, 0.20952, 1e-26
3949, -15.1444, 0.003653, 0.05841, 0.008977, 134.47, 0.090133, 0.036267, 0.050439, 182.67, 0.11396, 901.72, 0.0039717, 5.3048, 0.40983, 16.454, 0.10414, 0.36394, 4.4119, 8.2932,1e-26,923.31, 0.0012394, 1e-26
