Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
3969, -100.8205, 0.051369, 0.0012793, 0.17073, 0.023382, 0.010407, 219.27, 0.010845, 421.49, 5.7623, 0.060193, 0.30034, 6.9013, 0.37908, 4.1167, 0.0044326, 40.27, 0.83412, 0.085993,1e-26,0.50232,0.27175
3970, -100.8802, 0.0049205, 0.063021, 0.87534, 0.039951, 0.13701, 9.5463, 0.0042811, 446.75, 1.5124, 4.3759, 0.5833, 0.12128, 0.032844, 4.5896, 9.4683, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
3971, -100.9054, 0.0049205, 0.050096, 0.87534, 0.039951, 0.089755, 9.5463, 0.0043176, 446.75, 1.1863, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 5.2578, 29.869, 0.19958, 0.61778,1e-26,0.67615,0.0091265
3972, -101.2178, 0.0049205, 0.063021, 0.87534, 0.039951, 0.13701, 9.5463, 0.0041147, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.48615, 0.61778,1e-26,0.67615,0.0060654
3973, -101.2917, 0.0042343, 0.063021, 0.87534, 0.039951, 0.13701, 5.5883, 0.0029197, 446.75, 1.5124, 6.2359, 0.31943, 0.11541, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.41075,1e-26,0.96593,0.0061172
3974, -101.4887, 0.0049205, 0.025733, 0.80394, 0.039951, 0.087986, 13.126, 0.0029197, 271.21, 1.2423, 6.0948, 0.64817, 0.13199, 0.032844, 6.4894, 5.2578, 28.407, 0.66216, 0.61778,1e-26,0.67615,0.0091265
3975, -101.7826, 0.0049205, 0.053488, 0.53148, 0.04837, 0.097655, 5.4069, 0.0029197, 364.9, 1.1798, 4.3759, 0.5833, 0.13199, 0.032844, 6.4894, 5.2578, 20.323, 0.42558, 0.61778,1e-26,0.67615,0.0091265
3976, -101.8365, 0.0049205, 0.043605, 1.2555, 0.039951, 0.13849, 9.5463, 0.0042864, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.2307, 7.054, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
3977, -102.0672, 0.0049205, 0.066025, 0.87534, 0.039951, 0.13701, 9.5463, 0.0029197, 303.79, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 6.614, 29.869, 0.34179, 0.35134,1e-26,0.52693,0.0072459
3978, -102.3860, 0.0034702, 21.143, 0.17082, 8.8205, 0.0018363, 2.3867, 0.48682, 16.328, 0.18237, 0.011064, 0.0093015, 0.0016022, 0.10575, 2.6436, 4.0443, 4.6132, 0.38216, 3.8133,1e-26,0.15752,0.0028009
3979, -102.4142, 0.0026456, 83.955, 3.0401, 2.4916, 0.18876, 0.094741, 0.0014054, 106.27, 1.0036, 48.007, 1.5933, 0.0054133, 0.61039, 45.241, 9.1315, 532.64, 4.5248, 1.3291,1e-26,0.18488,0.016408
3980, -102.4427, 0.37891, 26.126, 0.15652, 0.21492, 9.7601, 0.052839, 0.0015837, 544.99, 0.0089914, 1.1097, 0.48453, 0.046234, 0.11693, 1.818, 0.012975, 1.1686, 4.7864, 0.20107,1e-26,290.95,1.1062
3981, -102.5235, 0.0049205, 0.063021, 0.56627, 0.043491, 0.13701, 9.5463, 0.0043008, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 6.4946, 7.6303, 29.869, 0.34179, 0.61778,1e-26,0.70457,0.011963
