Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2, X
101, -77.5618, 0.11139, 1.6926, 0.1, 0.0065526, 0.020433, 0.027228, 0.012972, 1.9034, 459.87, 0.13788, 5, 7.4897
102, -77.5968, 0.078224, 1.3311, 0.46058, 0.0081763, 0.015213, 0.07341, 0.037442, 1.4364, 330.08, 0.13635, 5, 5
103, -77.6859, 0.056692, 1.8133, 0.44153, 0.0042304, 0.01, 0.16004, 0.026235, 1.1314, 500, 0.14866, 5, 10
104, -77.7783, 0.11423, 2.6395, 0.1, 0.0059907, 0.013673, 0.061692, 0.013281, 1.9659, 365.33, 0.13161, 3.5149, 5.7542
105, -77.8611, 0.10442, 2.1149, 0.19612, 0.0061818, 0.01943, 0.074514, 0.016418, 1.4364, 417.93, 0.13698, 5, 8.1447
106, -77.9267, 0.03007, 0.96662, 0.14537, 0.0063331, 0.01, 0.066728, 0.019342, 1.7018, 500, 0.11729, 5, 5
107, -77.9362, 0.051348, 0.68772, 0.1, 0.001, 0.018882, 0.083996, 0.022465, 1.8039, 500, 0.075706, 4.3473, 10
108, -77.9773, 0.1009, 1.3064, 0.26506, 0.0060502, 0.013831, 0.081161, 0.030139, 0.72928, 500, 0.13788, 4.7068, 10
109, -78.0108, 0.083034, 3.3228, 0.79558, 0.0033269, 0.011433, 0.14369, 0.024015, 2.3697, 323.19, 0.13717, 5, 5.5185
110, -78.0261, 0.042241, 0.44004, 0.11213, 0.010387, 0.025839, 0.10434, 0.02803, 0.76828, 364.43, 0.10004, 5, 7.417
111, -78.1640, 0.096342, 1.4623, 0.16124, 0.0014992, 0.01, 0.034211, 0.012957, 2.3514, 500, 0.078281, 1.5, 10
112, -78.2455, 0.034453, 1.6799, 0.66045, 0.0082639, 0.024858, 0.12266, 0.035699, 2.4004, 500, 0.15019, 5, 7.6494
113, -78.3676, 0.033436, 0.81386, 0.25018, 0.0055801, 0.015155, 0.035293, 0.022012, 1.8408, 500, 0.090497, 4.2048, 5
114, -78.4396, 0.095912, 2.1142, 0.63707, 0.0074725, 0.019553, 0.14516, 0.044676, 0.90887, 500, 0.15179, 5, 10
115, -78.4681, 0.10716, 2.1911, 0.43523, 0.0025721, 0.01, 0.053923, 0.016215, 2.0316, 500, 0.088588, 4.0195, 10
116, -78.5025, 0.018359, 0.72305, 0.14985, 0.0065085, 0.01, 0.064998, 0.021866, 2.1612, 500, 0.13871, 5, 6.3246
117, -78.6192, 0.046236, 1.2016, 0.32841, 0.0049508, 0.014379, 0.097472, 0.017572, 1.5011, 500, 0.11255, 5, 9.4814
118, -78.9286, 0.058909, 0.99255, 0.31503, 0.0049449, 0.01, 0.072179, 0.040946, 0.69932, 500, 0.1106, 4.3829, 5
119, -79.2245, 0.074189, 1.7074, 0.28929, 0.0063238, 0.021009, 0.082981, 0.017358, 1.9308, 447.87, 0.10225, 4.2222, 10
120, -79.2354, 0.029482, 1.5799, 0.39417, 0.0058506, 0.01, 0.067127, 0.024015, 2.6655, 483.55, 0.13161, 2.9655, 5
121, -79.3469, 0.071369, 0.76139, 0.16457, 0.0015689, 0.01, 0.035123, 0.01656, 1.5557, 414.76, 0.12259, 5, 5.3599
122, -79.4176, 0.22107, 1.4197, 0.1, 0.0045525, 0.047974, 0.064941, 0.019906, 1.7578, 261.69, 0.068311, 4.7831, 5
123, -79.4909, 0.075858, 0.5546, 0.1, 0.0035894, 0.01, 0.070814, 0.022877, 1.3171, 253.96, 0.10991, 5, 5.6773
124, -79.5532, 0.086579, 1.4672, 0.46012, 0.001, 0.01, 0.13434, 0.04271, 1.3375, 500, 0.10706, 4.9916, 10
125, -79.6323, 0.057255, 1.7074, 0.5737, 0.0041026, 0.025059, 0.048576, 0.034336, 2.7668, 500, 0.10678, 5, 5
126, -79.6793, 0.058416, 0.83291, 0.29534, 0.0013605, 0.011884, 0.03835, 0.018287, 2.0192, 500, 0.089331, 5, 9.1656
127, -79.9573, 0.077463, 2.0699, 0.8786, 0.0065962, 0.011536, 0.059553, 0.037312, 1.2425, 500, 0.17294, 5, 8.1054
128, -80.0047, 0.029165, 1.2287, 0.35551, 0.0078848, 0.013754, 0.086356, 0.020508, 2.2583, 500, 0.13788, 5, 5
129, -80.0090, 0.07197, 2.8653, 0.86934, 0.0027687, 0.011543, 0.090199, 0.038743, 1.8087, 500, 0.090849, 5, 5
130, -80.1354, 0.064169, 2.5329, 0.88946, 0.0081978, 0.012771, 0.069508, 0.016958, 2.4034, 439.66, 0.15047, 4.9044, 8.009
131, -80.3118, 0.0804, 2.3646, 0.21127, 0.0083983, 0.01, 0.096977, 0.030427, 1.8337, 263.53, 0.13788, 5, 5
132, -80.5461, 0.044747, 1.6399, 0.46929, 0.0088268, 0.01, 0.046226, 0.016411, 2.3916, 500, 0.11908, 5, 5
133, -80.5807, 0.10518, 2.1045, 0.46058, 0.0065723, 0.013314, 0.081621, 0.023653, 1.2165, 500, 0.13161, 5, 7.2366
134, -80.7636, 0.11077, 1.7193, 0.36581, 0.010536, 0.0242, 0.13425, 0.031169, 0.63783, 500, 0.13161, 5, 9.9965
135, -80.8053, 0.035879, 2.8396, 0.90724, 0.0088669, 0.019205, 0.13368, 0.041252, 2.0361, 500, 0.16463, 5, 5
136, -80.8074, 0.065888, 2.395, 0.44888, 0.0057099, 0.02213, 0.07728, 0.013422, 2.6996, 500, 0.13788, 3.2966, 10
137, -80.8137, 0.092914, 1.2287, 0.42683, 0.0057522, 0.01, 0.063503, 0.025996, 0.8998, 335.55, 0.10744, 5, 5
138, -80.8496, 0.22461, 0.5346, 0.1, 0.0011692, 0.01363, 0.090605, 0.053788, 0.41365, 269.01, 0.095417, 5, 5
139, -80.8879, 0.079683, 1.0975, 0.23106, 0.0044553, 0.017864, 0.065634, 0.015565, 1.7576, 350.94, 0.12816, 4.3533, 6.3343
140, -80.9411, 0.098754, 3.092, 0.38849, 0.0092956, 0.013056, 0.033341, 0.011963, 1.787, 500, 0.091481, 5, 5
141, -81.0966, 0.10294, 1.3103, 0.2305, 0.0059865, 0.02666, 0.093425, 0.033574, 1.5518, 319.59, 0.08655, 3.3442, 5
142, -81.1797, 0.11561, 1.3089, 0.1, 0.0043709, 0.01, 0.10305, 0.030673, 1.7067, 146.8, 0.1378, 5, 5
143, -81.2137, 0.28469, 1.4754, 0.1, 0.001667, 0.01, 0.069893, 0.013897, 0.65202, 448.7, 0.08691, 1.6484, 7.2695
144, -81.2955, 0.058909, 1.7074, 0.69916, 0.0058506, 0.01, 0.09212, 0.027047, 0.98606, 500, 0.13161, 3.2333, 5
145, -81.3604, 0.10503, 1.6019, 0.25767, 0.0032868, 0.016335, 0.069026, 0.018852, 2.1475, 263.47, 0.10567, 5, 6.6139
146, -81.4546, 0.057812, 1.012, 0.1, 0.0045673, 0.01085, 0.031231, 0.018605, 1.903, 500, 0.10992, 3.4176, 9.7377
147, -81.5211, 0.051671, 1.6859, 0.25767, 0.0016462, 0.014877, 0.06595, 0.022438, 2.8785, 500, 0.12123, 5, 6.6774
148, -81.5284, 0.031802, 1.3411, 0.24983, 0.0047144, 0.01, 0.064242, 0.012575, 2.0316, 500, 0.13458, 3.8261, 6.8184
149, -81.5505, 0.023906, 0.84577, 0.19503, 0.0024709, 0.019715, 0.064775, 0.014656, 2.7467, 500, 0.077895, 5, 5
150, -81.5734, 0.055853, 0.7668, 0.19503, 0.0049784, 0.011002, 0.064395, 0.015664, 1.1629, 500, 0.13863, 5, 10
151, -81.6062, 0.11575, 1.0872, 0.23014, 0.0097503, 0.01, 0.10716, 0.024015, 0.28275, 500, 0.12051, 5, 5.8068
152, -81.7856, 0.022096, 2.3557, 0.7375, 0.0099032, 0.010446, 0.12588, 0.046792, 2.4625, 439.94, 0.18083, 5, 6.5026
153, -81.8252, 0.40341, 1.0719, 0.20164, 0.0040605, 0.014691, 0.12299, 0.051577, 0.5011, 185.37, 0.15522, 4.1282, 10
154, -82.0279, 0.43358, 1.2774, 0.13673, 0.0015753, 0.012965, 0.16569, 0.036484, 0.22995, 423.52, 0.10353, 5, 10
155, -82.0941, 0.1055, 1.7093, 0.46058, 0.0072616, 0.015304, 0.023034, 0.015602, 2.1452, 500, 0.10046, 3.3051, 5
156, -82.2907, 0.025573, 0.81179, 0.17503, 0.0045828, 0.010629, 0.034138, 0.022214, 2.7967, 500, 0.13458, 5, 7.0558
157, -82.2912, 0.11781, 2.3275, 0.30936, 0.00384, 0.019036, 0.03704, 0.017505, 2.7217, 459.33, 0.067917, 1.7401, 8.8567
158, -82.2919, 0.033619, 1.2536, 0.28052, 0.0029929, 0.011241, 0.12985, 0.020622, 2.2706, 500, 0.13733, 5, 10
159, -82.2921, 0.04207, 1.2025, 0.40137, 0.0083438, 0.01, 0.03922, 0.026947, 1.5802, 500, 0.13161, 3.5147, 8.8391
160, -82.3340, 0.13493, 1.4392, 0.17742, 0.0045363, 0.010976, 0.10508, 0.023482, 1.4486, 241.58, 0.15645, 5, 10
161, -82.3481, 0.10045, 1.3297, 0.1405, 0.0030527, 0.01, 0.086636, 0.015605, 1.0393, 500, 0.10787, 5, 5
162, -82.4483, 0.058909, 1.5853, 0.50424, 0.0073828, 0.019621, 0.13485, 0.04339, 1.033, 500, 0.12866, 5, 10
163, -82.4904, 0.081711, 1.7074, 0.40635, 0.011577, 0.011086, 0.081621, 0.024015, 0.7133, 500, 0.13161, 5, 10
164, -82.6343, 0.047723, 0.84199, 0.341, 0.0072886, 0.01, 0.028884, 0.017279, 1.5548, 484.94, 0.15567, 5, 10
165, -82.7566, 0.015084, 0.70561, 0.26087, 0.0088243, 0.016602, 0.10017, 0.04525, 1.5754, 500, 0.13745, 5, 8.692
166, -82.8046, 0.013998, 1.4437, 0.41477, 0.010565, 0.013242, 0.15702, 0.024796, 2.5389, 500, 0.14721, 5, 7.771
