Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
516, -11.0096, 0.0014303, 0.04884, 0.58908, 49.725, 0.49355, 166.25, 0.94433, 0.20405, 0.029199, 0.17134, 0.56301, 0.10362, 0.15359, 0.17312, 55.55, 0.20872, 52.999, 4.9411,0.87701
517, -11.0308, 0.69595, 0.016528, 0.10132, 6.517, 0.017613, 0.24339, 2.5891, 14.483, 0.35038, 49.578, 0.0026748, 2.637, 0.052423, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
518, -11.0905, 0.69595, 0.016528, 0.072335, 7.9617, 0.02721, 0.32419, 1.6344, 10.455, 0.35038, 49.578, 0.0034257, 1.9381, 0.039882, 2.6911, 44.281, 0.0048714, 2586.6, 0.37573,0.63126
519, -11.0907, 1.0134, 0.016528, 0.10132, 6.517, 0.02721, 0.24339, 3.0741, 21.489, 0.35038, 49.578, 0.0034257, 2.637, 0.039882, 2.6911, 44.281, 0.0038503, 2013.5, 0.37573,0.68352
520, -11.1620, 0.83751, 0.016578, 0.072335, 7.9617, 0.02721, 0.26303, 2.3497, 14.483, 0.35038, 49.578, 0.0028403, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.29595,0.68352
521, -11.1818, 0.69595, 0.014388, 0.072335, 7.9617, 0.021216, 0.32419, 3.0741, 14.483, 0.35038, 51.156, 0.0024117, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
522, -11.2002, 0.69595, 0.016528, 0.13434, 5.0274, 0.02721, 0.25287, 3.0902, 16.533, 0.35038, 49.28, 0.0034257, 2.396, 0.029377, 2.8524, 44.281, 0.0028801, 2562.5, 0.38292,0.68352
523, -11.2172, 0.69595, 0.0092183, 0.13434, 5.0274, 0.02721, 0.34024, 3.0902, 15.71, 0.46226, 80.718, 0.0025284, 3.1062, 0.017838, 1.6701, 44.281, 0.0033292, 2562.5, 0.37573,0.68352
524, -11.2229, 0.67065, 0.017462, 0.072335, 4.2243, 0.02721, 0.293, 3.0741, 14.483, 0.35038, 71.586, 0.0024365, 1.8348, 0.039882, 2.6911, 44.281, 0.0035218, 3824.8, 0.37573,0.68352
525, -11.2335, 0.67903, 0.016528, 0.18247, 6.517, 0.02721, 0.1803, 3.0902, 14.483, 0.2149, 87.663, 0.0034257, 2.637, 0.030718, 3.4357, 44.281, 0.0023166, 2145, 0.52329,0.68352
526, -11.2442, 0.69595, 0.016528, 0.19677, 5.0274, 0.02721, 0.25287, 3.0902, 14.069, 0.35038, 80.718, 0.0034257, 1.281, 0.029377, 3.0964, 44.281, 0.0023777, 2562.5, 0.37573,0.68352
527, -11.2699, 0.69595, 0.016528, 0.13434, 5.0274, 0.016951, 0.25287, 3.0902, 10.91, 0.35038, 58.25, 0.0033664, 1.7489, 0.03521, 3.2708, 44.281, 0.0028801, 2562.5, 0.37573,0.68352
528, -11.2999, 0.69595, 0.016528, 0.076038, 7.9617, 0.037955, 0.32419, 3.0741, 21.597, 0.35038, 40.333, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.33542,0.68352
529, -11.3526, 0.69595, 0.020913, 0.10132, 6.517, 0.02721, 0.24339, 3.5313, 14.483, 0.17529, 49.578, 0.0034257, 2.637, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
530, -11.3686, 0.69595, 0.016528, 0.076073, 7.9617, 0.035841, 0.32419, 3.0741, 14.483, 0.35038, 73.727, 0.0034257, 1.8348, 0.039882, 3.0597, 59.01, 0.0024668, 1840.5, 0.37573,0.41309
531, -11.3750, 1.8494, 1.6143, 0.97236, 0.011546, 0.060646, 1.4373, 0.016611, 0.16736, 0.13422, 8.8389, 3.0245, 0.021808, 0.07198, 0.16271, 61.912, 0.031365, 25.698, 1.2583,0.50813
532, -11.3882, 0.69595, 0.016528, 0.13434, 7.1786, 0.025004, 0.23648, 3.0902, 14.069, 0.35038, 80.718, 0.0041822, 2.396, 0.029377, 2.6911, 44.281, 0.0025467, 2562.5, 0.37573,0.68352
533, -11.4088, 0.69595, 0.016528, 0.13434, 5.0274, 0.02721, 0.32651, 3.0902, 14.069, 0.23981, 80.718, 0.0034257, 2.396, 0.021177, 2.6911, 44.281, 0.002525, 2562.5, 0.37573,0.84137
534, -11.4237, 0.69595, 0.016528, 0.13434, 5.0274, 0.02721, 0.25287, 3.0902, 14.069, 0.35038, 88.67, 0.0034257, 3.4021, 0.029377, 2.6911, 44.281, 0.0024744, 2562.5, 0.37573,0.65926
535, -11.4275, 0.055038, 0.0021739, 0.35481, 0.035321, 0.0031454, 467.4, 0.18593, 1.0173, 0.13491, 531.87, 0.029372, 0.0060341, 0.01141, 5.332, 8.0747, 0.0017613, 1363.5, 2.1579,0.30156
536, -11.4522, 0.69595, 0.016528, 0.23348, 6.517, 0.02721, 0.25287, 3.0902, 14.483, 0.35038, 67.873, 0.0041505, 2.637, 0.030718, 2.6911, 51.947, 0.002621, 2562.5, 0.37573,0.68352
537, -11.4653, 3.6434, 1.6632, 0.08062, 0.18275, 0.14528, 0.020437, 0.0038285, 0.076153, 0.0014445, 38.866, 0.83124, 0.08021, 0.41787, 2.4219, 5.7391, 0.052916, 16.752, 7.2717,0.12099
538, -11.4780, 0.81143, 0.012314, 0.092006, 7.2116, 0.02721, 0.25287, 2.5748, 14.069, 0.35038, 80.718, 0.0034257, 2.396, 0.03518, 2.6911, 44.281, 0.0028801, 2562.5, 0.37573,0.68352
539, -11.5346, 0.69595, 0.012462, 0.18247, 6.517, 0.039697, 0.25287, 3.0902, 18.113, 0.35038, 51.219, 0.0034257, 3.8365, 0.030718, 2.6911, 44.281, 0.0046901, 2562.5, 0.47996,0.68352
540, -11.5387, 0.81531, 0.016528, 0.10132, 6.517, 0.02721, 0.18998, 1.7729, 14.483, 0.35038, 49.578, 0.0034257, 2.637, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
541, -11.5421, 0.69595, 0.0088125, 0.072335, 7.9617, 0.02721, 0.48042, 3.0741, 21.58, 0.35038, 47.954, 0.0034257, 1.8348, 0.038966, 2.6911, 44.281, 0.0038503, 2562.5, 0.51686,0.68352
542, -11.5710, 0.69595, 0.016528, 0.1757, 5.0274, 0.02721, 0.25287, 3.0902, 14.069, 0.35038, 80.718, 0.0034257, 2.396, 0.029377, 2.6619, 54.364, 0.0023851, 2562.5, 0.42424,0.68352
