Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
56, -4.0001, 1.1734, 0.0014921, 0.0031783, 204.51, 3.0047, 0.04387, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
57, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.035173, 0.2212, 78.029, 2.3173, 5.993, 26.73, 0.00056061, 0.29403, 2.1568, 0.01, 0.2955, 43.491
58, -4.0001, 1.554, 0.001, 0.0031783, 204.51, 3.0047, 0.067425, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.18387, 39.938
59, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 2.4287, 0.038849, 0.2212, 63.093, 1.4267, 5.993, 52.517, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
60, -4.0001, 1.4604, 0.0014921, 0.0031783, 210.9, 3.0047, 0.067425, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.21574, 58.562
61, -4.0001, 1.0387, 0.0014921, 0.0031783, 140.63, 3.0047, 0.047289, 0.2212, 63.093, 2.3173, 6.6102, 47.567, 0.00036154, 0.44423, 2.1568, 0.01, 0.2955, 58.562
62, -4.0001, 1.554, 0.0015275, 0.0031783, 204.51, 3.0047, 0.067425, 0.15104, 63.093, 1.8002, 5.993, 47.567, 0.00039603, 0.44423, 2.1568, 0.01, 0.2955, 58.562
63, -4.0001, 1.554, 0.0014921, 0.0034665, 204.51, 3.0047, 0.067425, 0.11987, 63.093, 2.3173, 4.5686, 47.567, 0.00056061, 0.42736, 3.1516, 0.01, 0.2955, 58.562
64, -4.0001, 1.0434, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.13842, 63.093, 1.6408, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 75.26
65, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.11426, 63.093, 2.3173, 4.0741, 47.567, 0.00065942, 0.44423, 2.1568, 0.01, 0.2955, 58.562
66, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.2212, 94.11, 2.3173, 5.993, 25.265, 0.00056061, 0.34919, 2.1568, 0.01, 0.2955, 58.562
67, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.29616, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.9524, 0.01, 0.19487, 58.562
68, -4.0001, 1.3558, 0.0014921, 0.0034483, 204.51, 3.968, 0.067425, 0.2212, 78.762, 2.3173, 5.993, 37.078, 0.00056061, 0.44423, 1.6824, 0.01, 0.2955, 58.562
69, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.20209, 90.852, 2.3173, 5.993, 47.567, 0.00056061, 0.45731, 2.1568, 0.01, 0.2955, 58.562
70, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.11945, 63.508, 2.1935, 3.6026, 47.567, 0.00056061, 0.57965, 2.1568, 0.01, 0.26164, 58.562
71, -4.0001, 1.554, 0.0014921, 0.0031783, 305.82, 4.1978, 0.067425, 0.2212, 84.883, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 1.7644, 0.01, 0.2955, 58.562
72, -4.0001, 1.554, 0.0017895, 0.0016796, 233.97, 4.0751, 0.036185, 0.2212, 63.093, 2.3173, 4.9343, 47.567, 0.00056061, 0.44423, 2.6826, 0.01, 0.2955, 58.562
73, -4.0001, 1.554, 0.0020371, 0.0031783, 204.51, 3.917, 0.053596, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.30894, 58.562
74, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.2212, 63.093, 2.5951, 6.3991, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.23232, 58.562
75, -4.0001, 1.554, 0.0018325, 0.0031783, 204.51, 3.0047, 0.070281, 0.2212, 63.093, 2.3173, 5.993, 24.112, 0.00056061, 0.44423, 2.1568, 0.01, 0.17161, 71.55
76, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.14525, 63.093, 2.3173, 5.993, 24.849, 0.00056061, 0.44423, 1.2484, 0.01, 0.2955, 58.562
77, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.058239, 0.11532, 63.093, 2.9088, 3.1594, 54.728, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
78, -4.0001, 1.2637, 0.0014921, 0.0031783, 204.51, 1.8438, 0.03896, 0.2212, 63.093, 2.3173, 8.0573, 47.567, 0.0003672, 0.44423, 2.1568, 0.01, 0.2955, 58.562
79, -4.0001, 1.3949, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.2212, 69.855, 2.3173, 5.993, 47.567, 0.00056061, 0.50395, 1.1936, 0.01, 0.15078, 58.562
80, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.2212, 90.198, 2.3173, 5.993, 47.567, 0.00056061, 0.3712, 2.1568, 0.01, 0.2955, 58.562
81, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.19491, 63.093, 1.2775, 5.993, 30.171, 0.00066661, 0.45168, 2.1568, 0.01, 0.2955, 58.562
82, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.31671, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.48698, 2.1568, 0.01, 0.19173, 58.562
83, -4.0001, 1.554, 0.0013607, 0.0031783, 204.51, 3.7567, 0.067425, 0.2212, 92.468, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
84, -4.0001, 1.3028, 0.0014921, 0.0035825, 204.51, 3.0047, 0.068068, 0.13476, 63.093, 2.3173, 7.4153, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.431
85, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.037907, 0.2212, 63.093, 1.678, 5.993, 67.353, 0.00056061, 0.44423, 1.2293, 0.01, 0.2955, 58.562
86, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.26243, 63.093, 2.3173, 4.6546, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.20401, 58.562
87, -4.0001, 1.4928, 0.0014921, 0.0033603, 204.51, 3.0047, 0.067425, 0.14834, 63.093, 2.3173, 5.993, 48.525, 0.00056061, 0.45735, 3.1613, 0.01, 0.2955, 58.562
88, -4.0001, 1.554, 0.0018701, 0.0029314, 249.09, 3.9576, 0.067425, 0.2212, 63.093, 2.3173, 8.0637, 66.555, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
89, -4.0001, 1.2455, 0.0013395, 0.0031783, 204.51, 3.0047, 0.044082, 0.2212, 63.093, 2.3173, 7.0155, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
90, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.15267, 63.093, 2.3173, 5.993, 47.567, 0.00053239, 0.44423, 2.1568, 0.01, 0.2955, 58.562
91, -4.0001, 2.3117, 0.0014921, 0.0031783, 204.51, 2.149, 0.060296, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.21124, 58.562
92, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 2.4833, 0.065742, 0.12069, 63.093, 2.3173, 7.387, 47.567, 0.00056061, 0.44423, 1.1452, 0.01, 0.3242, 58.562
93, -4.0001, 1.554, 0.001, 0.0031783, 204.51, 3.0047, 0.067425, 0.26106, 63.093, 2.3173, 3.5655, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.17031, 58.562
