Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, C0, kfcm, krcm, eCA, kclus, eDLoop
81, -7.1937, 1.428, 0.010527, 0.015641, 0.18847, 0.56718, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
82, -7.1938, 1.428, 0.012156, 0.015641, 0.18847, 0.75758, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.4675, 3.049, 0.35783, 2.9477, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
83, -7.1938, 1.428, 0.014402, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,1000,2.2782, 1e-26, 4.8695
84, -7.1939, 1.6299, 0.01361, 0.015641, 0.18847, 1.0502, 0.10393, 0.0026102, 168.85, 0.5727, 48.525, 0.94054, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
85, -7.1940, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 519.53, 1.7047,1.355, 1e-26,987.18,4.4123, 1e-26, 4.8695
86, -7.1940, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.07732, 0.0026102, 168.85, 0.5727, 48.525, 1.1049, 3.049, 0.35783, 2.7481, 0.16116, 515.38, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
87, -7.1940, 1.428, 0.012156, 0.015641, 0.18847, 1.3197, 0.04149, 0.002595, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
88, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.27521, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
89, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 530.88, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
90, -7.1941, 1.428, 0.012383, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,593.29,3.7353, 1e-26, 4.8695
91, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,0.83538, 1e-26,1000,3.7353, 1e-26, 4.8695
92, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 1.4791, 0.16116, 535.47, 1.7047,1.1757, 1e-26,1000,3.7353, 1e-26, 4.8695
93, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,2.9678, 1e-26, 4.8695
94, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 1.7516, 0.16116, 535.47, 1.7047,1.355, 1e-26,614.92,3.7353, 1e-26, 4.8695
95, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,4.4536, 1e-26, 4.8695
96, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.861, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
97, -7.1941, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,4.5358, 1e-26, 4.8695
