Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2
165, -74.6952, 10, 338.88, 0.29205, 0.030753, 1.798, 0.040009, 0.015978, 9.5966, 500, 0.063945, 5
166, -74.7665, 10, 387.96, 0.1, 0.0034576, 0.066437, 0.04545, 0.019656, 10, 253.67, 0.086679, 3.5614
167, -74.8847, 10, 111.82, 0.72284, 0.013212, 3.0211, 0.052533, 0.02191, 4.7972, 431.21, 0.066156, 5
168, -74.8881, 10, 375.65, 0.1, 0.012008, 0.45226, 0.045002, 0.0081571, 8.3757, 500, 0.098303, 5
169, -74.8910, 10, 338.36, 0.13658, 0.035299, 1.0349, 0.058597, 0.0085525, 6.2717, 493.38, 0.087595, 5
170, -74.8987, 10, 259.04, 0.12802, 0.030753, 2.6489, 0.047139, 0.013392, 7.7488, 500, 0.066577, 1.5
171, -74.9820, 2.7948, 84.715, 0.54476, 0.084046, 1.4732, 0.046655, 0.008018, 5.958, 500, 0.08903, 3.5865
172, -74.9943, 9.6248, 219, 0.62038, 0.16856, 5.7114, 0.022159, 0.012658, 10, 500, 0.092793, 4.0986
173, -75.0210, 3.3355, 265.3, 0.51063, 0.021917, 0.077221, 0.038364, 0.009461, 9.3627, 500, 0.11074, 5
174, -75.0693, 10, 427.3, 0.18602, 0.0024949, 0.099798, 0.032298, 0.010975, 10, 500, 0.062827, 1.5
175, -75.1296, 10, 328.47, 0.57284, 0.030753, 1.9292, 0.069446, 0.013167, 7.5667, 373.04, 0.08477, 3.4272
176, -75.1407, 10, 246.79, 0.30894, 0.012307, 0.27943, 0.060465, 0.010599, 4.3578, 500, 0.071599, 5
177, -75.1754, 10, 230.01, 0.12983, 0.013705, 0.52748, 0.057664, 0.01094, 4.3539, 500, 0.088534, 2.4567
178, -75.3341, 10, 403.05, 0.13519, 0.037223, 3.3543, 0.062773, 0.011555, 8.944, 500, 0.08477, 5
179, -75.3353, 9.1966, 224.24, 0.56772, 0.0014519, 1.8826, 0.043664, 0.014665, 10, 500, 0.058391, 4.867
180, -75.3563, 4.8664, 282.95, 0.19601, 0.018675, 0.13644, 0.032492, 0.013117, 6.8555, 500, 0.11894, 5
181, -75.4522, 8.1498, 136.05, 0.52208, 0.050605, 1.3783, 0.04315, 0.01077, 5.3287, 500, 0.095706, 5
182, -75.4675, 9.2947, 212.94, 5.8088, 0.18895, 2.2948, 0.045933, 0.022609, 6.1612, 280.04, 0.10283, 2.6799
183, -75.5126, 10, 29.2, 0.1, 0.012365, 0.36472, 0.064279, 0.015873, 0.86682, 394.28, 0.071607, 1.5
184, -75.5196, 7.0951, 218.58, 0.56314, 0.062152, 1.6635, 0.033133, 0.012387, 6.647, 500, 0.060985, 3.109
185, -75.5468, 8.3389, 177.22, 0.29838, 0.045829, 1.7995, 0.051679, 0.013619, 6.3275, 500, 0.08477, 4.0664
186, -75.5607, 8.088, 241.79, 0.57577, 0.0023633, 0.82256, 0.06211, 0.01588, 9.3962, 462.66, 0.07026, 5
187, -75.5971, 10, 221.13, 0.1, 0.048409, 1.3154, 0.049134, 0.013642, 5.6894, 348.82, 0.11374, 5
188, -75.6001, 10, 198.28, 0.93439, 0.059015, 1.9078, 0.032183, 0.008844, 5.5066, 500, 0.067992, 5
189, -75.6564, 4.206, 234.29, 0.42177, 0.0094367, 0.19773, 0.041115, 0.015746, 10, 475.04, 0.1064, 3.5614
190, -75.6934, 10, 399.25, 0.21724, 0.010706, 0.39662, 0.05706, 0.013096, 6.6269, 500, 0.080017, 4.3281
191, -75.7366, 10, 443.65, 0.53758, 0.018014, 0.6665, 0.065445, 0.013667, 8.2445, 493.38, 0.08267, 3.985
192, -75.7515, 6.9694, 196.71, 0.54867, 0.0093238, 0.45683, 0.067611, 0.012247, 5.671, 465.79, 0.065965, 3.5614
193, -75.7633, 8.5488, 144.55, 0.27908, 0.027977, 1.228, 0.034423, 0.0098772, 6.4895, 500, 0.082763, 2.6556
194, -75.7679, 10, 265.79, 0.45931, 0.041248, 0.56359, 0.068802, 0.013981, 4.6001, 455.25, 0.099943, 4.0019
195, -75.8128, 10, 272.89, 0.33049, 0.08871, 2.5895, 0.056623, 0.01144, 5.7518, 448.69, 0.065238, 4.4788
196, -75.8167, 10, 233.09, 0.97322, 0.053617, 3.0697, 0.040922, 0.012411, 9.2364, 500, 0.087166, 5
197, -75.8273, 10, 224.24, 0.46548, 0.040252, 1.9617, 0.032397, 0.0085301, 6.7708, 500, 0.095193, 5
198, -75.9540, 4.0169, 164.87, 0.18584, 0.011792, 0.54319, 0.040519, 0.010761, 10, 500, 0.10404, 3.6463
199, -75.9667, 7.9689, 216.78, 0.1773, 0.023515, 0.50153, 0.046991, 0.0076118, 5.3081, 500, 0.096368, 5
200, -76.0297, 8.3292, 48.132, 0.59949, 0.042974, 1.6708, 0.04315, 0.014462, 2.0062, 500, 0.091441, 2.9547
201, -76.0450, 6.7074, 142.72, 0.31747, 0.039228, 1.9453, 0.038584, 0.015006, 4.5463, 500, 0.086197, 5
202, -76.0773, 10, 314.29, 0.65519, 0.052552, 2.446, 0.038195, 0.012411, 7.8608, 500, 0.057364, 5
203, -76.1685, 10, 140.95, 0.57465, 0.049208, 1.431, 0.084541, 0.019651, 3.4943, 254.14, 0.10335, 3.9297
204, -76.3552, 10, 227.64, 0.50429, 0.059799, 1.2263, 0.04315, 0.014343, 5.823, 500, 0.10432, 5
205, -76.3944, 9.3795, 312.9, 0.27561, 0.013335, 1.798, 0.07966, 0.024388, 9.6357, 320.74, 0.072006, 5
206, -76.5222, 5.0893, 80.338, 0.1, 0.017127, 2.9908, 0.064809, 0.01144, 5.1576, 500, 0.069243, 3.3776
