Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
80, -0.4939, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.24505, 45.293, 0.062777, 60.741, 0.069389
81, -0.4939, 6.857, 44.078, 0.56961, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.03903, 0.23088, 45.293, 0.062777, 60.741, 0.069389
82, -0.4939, 6.857, 44.078, 0.57347, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
83, -0.4939, 6.857, 44.078, 0.4651, 0.33712, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
84, -0.4939, 6.857, 44.078, 0.4651, 0.21761, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.18689, 45.293, 0.062777, 60.741, 0.069389
85, -0.4939, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.25082, 45.293, 0.062777, 60.741, 0.069389
86, -0.4940, 6.857, 44.078, 0.4651, 0.31628, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.026097, 0.23088, 45.293, 0.062777, 60.741, 0.069389
87, -0.4940, 6.857, 25.719, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 1.0732, 0.0095857, 0.040949, 0.20331, 45.293, 0.062777, 35.095, 0.069389
88, -0.4940, 6.857, 44.078, 0.4651, 0.45022, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.26424, 45.293, 0.062777, 60.741, 0.069389
89, -0.4940, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.72935, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
90, -0.4941, 6.857, 44.616, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
91, -0.4941, 6.857, 44.078, 0.68802, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
92, -0.4942, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.27362, 45.293, 0.062777, 60.741, 0.069389
93, -0.4943, 6.857, 44.078, 0.4651, 0.25265, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 50.087, 0.062777, 60.741, 0.069389
94, -0.4943, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.010781, 0.041979, 0.23088, 45.293, 0.062944, 60.741, 0.069389
95, -0.4945, 6.857, 44.078, 0.4651, 0.52005, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.049347, 0.31192, 45.293, 0.062777, 60.741, 0.069389
96, -0.4945, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.19502, 45.293, 0.060111, 60.741, 0.069389
97, -0.4945, 6.857, 44.078, 0.56571, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0058061, 0.041979, 0.29485, 45.293, 0.062777, 60.741, 0.069881
98, -0.4945, 6.857, 44.078, 0.64449, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.67956, 0.0095857, 0.041979, 0.2061, 37.478, 0.062777, 60.741, 0.069389
99, -0.4945, 6.857, 44.078, 0.34459, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.67037, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
100, -0.4946, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.66915, 0.0094535, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
101, -0.4946, 6.857, 34.578, 0.5193, 0.41126, 0.21275, 0.010571, 0.29522, 0.10575, 10, 0.7679, 0.013341, 0.041979, 0.23088, 45.293, 0.043771, 60.741, 0.069389
102, -0.4947, 6.857, 44.078, 0.63154, 0.37459, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.26527, 45.293, 0.062777, 60.741, 0.069389
103, -0.4947, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.65882, 0.0095857, 0.045333, 0.23088, 59.326, 0.062777, 60.741, 0.069389
104, -0.4947, 6.857, 44.078, 0.4651, 0.20816, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
105, -0.4949, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0063982, 0.022473, 0.33182, 45.293, 0.062777, 60.741, 0.069389
106, -0.4950, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.34267, 45.293, 0.062777, 60.121, 0.069389
107, -0.4958, 6.857, 44.078, 0.56158, 0.41126, 0.21275, 0.01, 0.29395, 0.10575, 10, 0.85039, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
108, -0.4960, 6.857, 44.078, 0.4651, 0.41126, 0.30985, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.062523, 0.22947, 45.293, 0.062777, 60.741, 0.069389
109, -0.4960, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.058432, 0.12401, 45.293, 0.062777, 60.741, 0.069389
110, -0.4960, 6.9358, 44.078, 0.4651, 0.46231, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.021526, 0.23088, 35.547, 0.062777, 60.741, 0.069389
111, -0.4960, 6.857, 44.078, 0.47247, 0.54051, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.059735, 60.741, 0.069389
112, -0.4961, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.58785, 0.0061845, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
113, -0.4965, 6.857, 44.078, 0.4651, 0.52649, 0.27898, 0.014531, 0.29522, 0.076981, 10, 0.7679, 0.0069415, 0.041979, 0.29778, 45.293, 0.062777, 45.172, 0.069389
114, -0.4965, 6.857, 44.078, 0.4651, 0.41126, 0.20717, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
115, -0.4967, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.56359, 0.0095857, 0.046534, 0.12113, 28.798, 0.061664, 60.741, 0.069389
116, -0.4967, 6.857, 44.078, 0.4651, 0.41126, 0.31116, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
117, -0.4971, 6.857, 44.078, 0.27706, 0.46809, 0.24975, 0.01, 0.2838, 0.099674, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
118, -0.4978, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.54309, 0.0049434, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
119, -0.4981, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.53523, 0.0095857, 0.041979, 0.23088, 43.57, 0.062777, 60.741, 0.069389
120, -0.4983, 6.857, 50.064, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.030385, 0.18319, 45.293, 0.062777, 60.741, 0.074978
121, -0.4988, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.51793, 0.0058071, 0.036358, 0.23088, 45.293, 0.062777, 60.741, 0.069389
122, -0.4995, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.5036, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
