Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
14569, -13.9729, 5.316, 2.7895, 0.7649, 0.78647, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.7018, 1.3744, 0.027138, 0.52288, 0.11539, 3.7537, 0.0029187, 64.863, 0.019502,11.717
14570, -13.9734, 5.316, 4.1169, 0.93428, 1.1667, 1.7033, 384.57, 6.1629, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 4.5216, 0.0028952, 222.58, 0.012738,9.244
14571, -13.9738, 5.316, 2.7895, 1.3555, 0.92798, 1.4361, 238.67, 8.6555, 0.058813, 0.0017049, 6.2301, 0.83216, 0.027138, 0.54133, 0.11539, 3.7537, 0.0030048, 73.092, 0.024623,9.244
14572, -13.9753, 4.1679, 2.7895, 0.93428, 0.92798, 1.7033, 478.84, 4.8318, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.7537, 0.0017794, 222.58, 0.024623,9.244
14573, -13.9768, 7.2526, 1.1937, 1.1335, 0.92798, 1.7033, 384.57, 6.9268, 0.058813, 0.0016935, 5.0069, 1.3744, 0.027138, 0.73884, 0.13232, 2.5134, 0.0026185, 222.58, 0.024623,9.244
14574, -13.9821, 6.308, 3.246, 0.93428, 1.3055, 0.88405, 384.57, 6.1629, 0.03337, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.7537, 0.0029606, 264.01, 0.034845,7.443
14575, -13.9842, 5.3467, 2.7895, 0.81007, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 1.3744, 0.027138, 0.52288, 0.11539, 4.9934, 0.0030048, 65.635, 0.024623,8.3732
14576, -13.9887, 5.1635, 2.2457, 1.35, 0.92798, 1.0966, 384.57, 5.1579, 0.058813, 0.0016935, 5.0069, 1.3744, 0.027138, 0.40544, 0.13232, 2.5134, 0.0026185, 222.58, 0.012615,10.923
14577, -13.9908, 8.1101, 1.3806, 1.35, 0.92798, 1.7033, 384.57, 5.1579, 0.078541, 0.0016935, 5.0069, 1.3744, 0.027221, 0.54133, 0.13232, 2.5134, 0.002947, 222.58, 0.024623,9.244
14578, -13.9914, 5.316, 3.718, 1.3911, 0.92798, 1.2058, 477.05, 8.6555, 0.058813, 0.0012385, 5.0069, 1.9683, 0.027138, 0.54133, 0.11539, 3.7537, 0.0030048, 134.95, 0.013807,9.244
14579, -13.9923, 7.3543, 2.2457, 1.35, 0.89285, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 3.2609, 1.8987, 0.027138, 0.44039, 0.1, 2.5134, 0.0026185, 222.58, 0.035693,10.561
14580, -14.0003, 8.1316, 2.2457, 1.35, 0.64761, 1.7033, 384.57, 5.1579, 0.040874, 0.0017854, 5.0069, 1.3744, 0.040188, 0.54133, 0.13232, 2.5134, 0.0035055, 222.58, 0.024623,6.1366
14581, -14.0132, 5.316, 2.7895, 1.304, 0.92798, 1.7033, 384.57, 6.1629, 0.048648, 0.0012385, 5.0069, 1.3744, 0.027138, 0.60614, 0.11478, 3.7537, 0.0015485, 116.02, 0.033926,9.244
14582, -14.0134, 5.316, 2.7895, 1.3911, 0.92798, 1.7033, 353.54, 4.4953, 0.034368, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.7537, 0.0030048, 134.95, 0.024623,9.244
14583, -14.0316, 7.3543, 2.2457, 1.35, 0.92798, 1.7033, 531.41, 4.4359, 0.058813, 0.0016935, 4.1288, 1.3744, 0.027138, 0.54133, 0.18176, 2.5134, 0.0026185, 222.58, 0.012475,13.622
14584, -14.0339, 5.316, 2.7895, 1.3911, 1.2872, 1.7033, 353.54, 7.9108, 0.058813, 0.0012385, 5.7914, 1.3744, 0.027138, 0.54133, 0.11156, 5.0867, 0.0030048, 79.583, 0.024623,9.244
14585, -14.0448, 7.3543, 2.2457, 1.35, 1.0363, 1.7033, 517.06, 6.1349, 0.058813, 0.0013779, 5.0892, 1.3744, 0.027138, 0.54133, 0.13232, 2.3904, 0.0028316, 222.58, 0.033909,9.244
