Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
91, -6.2504, 0.011729, 0.90566, 0.5263, 1.3945, 5.7239, 30.479, 0.022977, 881.75, 2.0606, 0.12967, 0.0048394, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 4.5362,0.00013688,9.3518,0.10724
92, -6.2507, 0.011729, 0.90566, 0.5263, 1.3945, 5.7239, 30.479, 0.023614, 881.75, 2.0606, 0.12967, 0.0059354, 0.066946, 0.18796, 16.461, 0.0539, 565.52, 0.13516, 5.251,0.00016308,9.3518,0.10724
93, -6.2517, 0.011729, 0.90566, 0.5263, 1.3945, 5.7239, 30.479, 0.022977, 1000, 2.0606, 0.07829, 0.0059354, 0.066946, 0.12898, 18.078, 0.0539, 565.52, 0.13516, 3.6773,0.00016308,9.3518,0.14235
94, -6.2519, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.090873, 0.0064561, 0.085456, 0.12898, 15.753, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,13.864,0.12991
95, -6.2522, 0.011729, 0.90566, 0.5263, 1.8249, 7.6219, 30.479, 0.022977, 881.75, 2.0606, 0.12967, 0.0059354, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 5.251,0.00016308,9.4586,0.10724
96, -6.2524, 0.011729, 0.90566, 0.5263, 1.3945, 5.7239, 30.479, 0.022977, 881.75, 2.0606, 0.12967, 0.0048479, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13371, 4.8079,0.00016308,9.3518,0.10724
97, -6.2543, 0.011729, 0.90566, 0.5263, 1.3945, 5.7239, 45.506, 0.022977, 881.75, 2.0606, 0.12967, 0.0059354, 0.039553, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 5.251,0.00016308,13.708,0.10724
98, -6.2549, 0.011729, 0.90566, 0.45886, 1.9034, 8.4472, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0096375, 0.045994, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 3.3324,8.1807e-05,9.3518,0.10724
99, -6.2553, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.083789, 0.0064561, 0.066946, 0.12898, 18.03, 0.054645, 565.52, 0.13516, 2.9992,0.00017793,9.3518,0.10724
100, -6.2561, 0.011257, 0.89967, 0.47874, 1.2909, 5.7239, 30.479, 0.023013, 881.75, 2.6833, 0.12967, 0.0059354, 0.066946, 0.098714, 16.113, 0.0539, 565.52, 0.13516, 6.9791,0.00016308,9.3518,0.10724
