Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
74, -8.9464, 0.013085, 0.030441, 0.1145, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.24565, 0.16338, 74.685, 1.0473, 0.34034, 0.1
75, -8.9611, 0.010514, 0.030441, 0.1, 1.8936, 1.8471, 0.092703, 10, 0.010394, 2.4545, 0.34298, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
76, -8.9922, 0.010514, 0.016798, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.27418, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
77, -9.0007, 0.0091971, 0.02332, 0.12319, 1.8936, 1.6085, 0.1228, 9.2802, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
78, -9.0117, 0.010514, 0.025238, 0.1, 1.6227, 1.7633, 0.1188, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.34546, 0.16338, 100, 1.0473, 0.34034, 0.1
79, -9.0183, 0.010514, 0.026977, 0.12151, 1.8936, 1.7633, 0.11316, 7.3209, 0.01, 2.3014, 0.24139, 0.16566, 0.12098, 0.16338, 74.685, 1.0473, 0.34034, 0.1
80, -9.0303, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.8585, 0.35134, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
81, -9.0440, 0.01223, 0.030441, 0.1, 1.8936, 0.98095, 0.13114, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.19898, 100, 1.0473, 0.34034, 0.1
82, -9.0516, 0.0099967, 0.023851, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.29002, 0.16338, 74.685, 1.1962, 0.34034, 0.1
83, -9.0634, 0.012026, 0.030441, 0.1, 1.8936, 1.0837, 0.091383, 7.3209, 0.010394, 2.2468, 0.24139, 0.19864, 0.28903, 0.16338, 74.685, 1.0473, 0.34034, 0.10167
84, -9.0717, 0.010514, 0.017994, 0.1, 1.8936, 1.7633, 0.11126, 7.3209, 0.010394, 2.1393, 0.12153, 0.16767, 0.23281, 0.23979, 74.685, 1.0473, 0.34034, 0.1
85, -9.0860, 0.013737, 0.030441, 0.13876, 1.8936, 1.7633, 0.089244, 8.857, 0.010394, 2.1393, 0.16531, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.10204
86, -9.1113, 0.010514, 0.030441, 0.1, 1.9852, 1.4284, 0.089244, 7.3209, 0.010394, 2.1149, 0.24139, 0.19864, 0.21587, 0.16338, 74.685, 1.0473, 0.35223, 0.1
87, -9.1214, 0.010514, 0.030441, 0.1, 1.8936, 1.0016, 0.089244, 9.0825, 0.01, 2.1393, 0.3379, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
88, -9.1255, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 10, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.11991, 74.685, 1.0473, 0.34034, 0.1
89, -9.1352, 0.015104, 0.030441, 0.12731, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.13894, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.10346
90, -9.1364, 0.010514, 0.01696, 0.10916, 2.1013, 1.7633, 0.089244, 7.3209, 0.01, 2.854, 0.24139, 0.2858, 0.23281, 0.16338, 100, 1.0473, 0.34034, 0.1
91, -9.1701, 0.010514, 0.030441, 0.11567, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.652, 0.24139, 0.19864, 0.17416, 0.16338, 74.685, 1.0473, 0.34034, 0.1
92, -9.1886, 0.010514, 0.030441, 0.1, 1.4869, 1.7633, 0.089244, 9.6089, 0.010394, 2.1393, 0.24139, 0.1999, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
93, -9.1893, 0.010514, 0.030441, 0.13282, 1.7604, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.29975, 0.19864, 0.23281, 0.11896, 74.685, 1.0473, 0.44204, 0.11979
94, -9.2071, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.17961, 0.23281, 0.16338, 74.685, 1.0473, 0.35062, 0.1
95, -9.2451, 0.010514, 0.016436, 0.1, 1.786, 1.7633, 0.093177, 7.3209, 0.013745, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.49863, 0.1
96, -9.2569, 0.010514, 0.024408, 0.1, 1.2764, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.17025, 74.685, 0.85167, 0.34034, 0.1
97, -9.2761, 0.010514, 0.02861, 0.1, 1.8936, 1.6476, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.11826, 0.16338, 74.685, 1.0473, 0.34034, 0.1
98, -9.2772, 0.010514, 0.043754, 0.1, 2.2801, 1.7633, 0.089244, 7.3209, 0.010394, 1.5832, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.47533, 0.1
99, -9.2859, 0.0072293, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 100, 1.0473, 0.43587, 0.1
